"Timestamp","Value"
0.000000,0
1.014840,1
2.183000,0
2.184240,1
3.261740,0
3.324420,1
4.492540,0
4.493780,1
5.571240,0
5.633920,1
6.802040,0
6.803260,1
7.880760,0
7.943440,1
9.111540,0
9.112760,1
10.190220,0
10.252900,1
11.421020,0
11.422240,1
12.499720,0
12.562400,1
13.730540,0
13.731780,1
14.809300,0
14.871980,1
16.040100,0
16.041320,1
17.118780,0
17.181460,1
18.349520,0
18.350740,1
19.428160,0
19.490840,1
20.658900,0
20.660140,1
21.737600,0
21.800260,1
22.968380,0
22.969620,1
24.047060,0
24.109720,1
25.277800,0
25.279020,1
26.356460,0
26.419140,1
27.587240,0
27.588460,1
28.665940,0
28.728620,1
29.896740,0
29.897960,1
30.975420,0
31.038100,1
32.206160,0
32.207380,1
32.593700,0
32.593720,1
32.593780,0
32.593800,1
32.593820,0
32.593860,1
32.593920,0
