time (ms),Avg Current (mA),Min Current (mA),Max Current (mA),Avg Power (mW),Min Power (mW),Max Power (mW)
0.1220,5.21,5.15,5.24,15.6,15.5,15.7
0.118,5.22,5.16,5.26,15.7,15.5,15.8
0.122,5.24,5.2,5.28,15.7,15.6,15.8
0.119,5.22,5.15,5.25,15.6,15.5,15.8
0.138,5.23,5.17,5.26,15.7,15.5,15.8
0.139,5.22,5.15,5.26,15.6,15.4,15.8
0.124,5.22,5.16,5.26,15.7,15.5,15.8
0.138,5.21,5.18,5.25,15.6,15.4,15.7
0.119,5.23,5.17,5.27,15.7,15.5,15.8
0.121,5.22,5.15,5.26,15.7,15.4,15.8
