time (ms),Avg Current (mA),Min Current (mA),Max Current (mA),Avg Power (mW),Min Power (mW),Max Power (mW)
3.5400,9.53,5.34,13.1,28.6,16,39.1
3.44,9.65,5.34,13.1,28.9,16,39.2
3.46,9.62,5.34,13.1,28.9,16,39.2
3.42,9.67,5.36,13,29,16.1,39.1
3.4,9.71,5.33,13.1,29.1,16,39.3
3.41,9.68,5.35,13.1,29,16.1,39.3
3.42,9.67,5.34,13.1,29,16,39.2
3.42,9.68,5.33,13.1,29,16,39.2
3.4,9.7,5.36,13.1,29.1,16.1,39.1
3.43,9.66,5.35,13.1,29,16,39.2
