time (ms),Avg Current (mA),Min Current (mA),Max Current (mA),Avg Power (mW),Min Power (mW),Max Power (mW)
0.1210,5.62,5.23,6.26,16.7,15.6,18.6
0.121,5.32,4.85,6.01,15.9,14.5,17.9
0.098,5.48,5.47,5.5,16.4,16.4,16.5
0.121,5.5,5.49,5.51,16.5,16.5,16.5
0.121,5.49,5.48,5.5,16.5,16.4,16.5
0.121,5.49,5.47,5.5,16.5,16.4,16.5
0.099,5.49,5.48,5.49,16.5,16.4,16.5
0.121,5.5,5.49,5.52,16.5,16.5,16.5
0.121,5.5,5.49,5.51,16.5,16.5,16.5
0.121,5.5,5.49,5.5,16.5,16.4,16.5
