time (ms),Avg Current (mA),Min Current (mA),Max Current (mA),Avg Power (mW),Min Power (mW),Max Power (mW)
2032,5.27,5.08,5.49,15.8,15.3,16.5
2032,5.27,5.08,5.48,15.8,15.2,16.4
2077,5.28,5.08,5.48,15.8,15.3,16.4
2077,5.27,5.08,5.47,15.8,15.2,16.4
2032,5.27,5.08,5.48,15.8,15.2,16.4
2077,5.27,5.08,5.48,15.8,15.2,16.4
2077,5.27,5.08,5.47,15.8,15.3,16.4
2032,5.27,5.08,5.48,15.8,15.2,16.4
2032,5.27,5.08,5.48,15.8,15.3,16.4
2077,5.27,5.08,5.48,15.8,15.2,16.4
