time (ms),Avg Current (mA),Min Current (mA),Max Current (mA),Avg Power (mW),Min Power (mW),Max Power (mW)
2.5300,5.25,5.02,5.37,15.8,15.1,16.1
2.49,5.25,5.03,5.37,15.8,15.1,16.1
2.55,5.25,5.05,2.36,15.7,15.1,16.1
2.51,5.25,5.04,5.37,15.8,15.1,16.1
2.53,5.25,5.03,5.36,15.8,15.1,16.1
2.49,5.25,5.04,5.37,15.8,15.1,16.1
2.46,5.25,5.03,5.37,16.1,15.8,16.1
2.5,5.25,5.03,5.38,15.8,15.1,16.1
2.47,5.26,5.04,5.37,15.8,15.1,16.1
2.5,5.25,5.02,5.38,15.8,15.1,16.1
