time (s),Avg Current (A),Min Current (A),Max Current (A),Avg Power (W),Min Power (W),Max Power (W)
0.001680, 0.007485347761647058, 0.00780514954, 0.00556293968, 0.022425521669411762, 0.0233737025, 0.0166711099
0.001680, 0.0074812176908235295, 0.00781067368, 0.0055618803, 0.02242383718117647, 0.0234018657, 0.0166748967
0.001680, 0.007478644786470588, 0.00779623911, 0.00555481389, 0.022416362851764706, 0.0233592056, 0.0166550037
0.001680, 0.007473203945058826, 0.00779947685, 0.00555691076, 0.022401331123529416, 0.0233689379, 0.0166619942
0.001680, 0.00747970614329412, 0.00780665129, 0.00556412153, 0.022422942119999997, 0.0233926494, 0.0166836716
0.001680, 0.007474729582823529, 0.00781700946, 0.00557223381, 0.022409472725882354, 0.0234268922, 0.0167105868
0.001680, 0.007477265207529412, 0.00780973583, 0.00557507481, 0.02242098220588235, 0.0234088339, 0.0167215671
0.001680, 0.0074878560051764706, 0.00779194618, 0.00556136156, 0.022452508041176468, 0.0233521257, 0.0166808739
0.001660, 0.007495432953214287, 0.00781841576, 0.00557267573, 0.022474813807142856, 0.0234355461, 0.0167142767
0.001680, 0.0074802719770588255, 0.00779560767, 0.00556321489, 0.022433731483529413, 0.0233673919, 0.0166889261

