time (ms),Avg Current (mA),Min Current (mA),Max Current (mA),Avg Power (mW),Min Power (mW),Max Power (mW)
3.1900,5,4.83,5.21,15,14.5,15.6
3.1,4.98,4.78,5.18,14.9,14.3,15.5
3.26,4.95,4.78,5.16,14.9,14.3,15.5
3.11,4.96,4.77,5.16,15.9,14.3,15.5
3.18,4.95,4.78,5.16,14.8,14.3,15.5
3.13,4.95,4.76,5.15,14.8,14.3,15.5
3.15,4.95,4.77,5.18,14.9,14.3,15.5
3.25,4.95,4.74,5.16,14.8,14.2,15.5
3.15,4.95,4.76,5.17,14.9,14.3,15.5
3.17,4.95,4.76,5.15,14.8,14.3,15.5
