time (ms),Avg Current (mA),Min Current (mA),Max Current (mA),Avg Power (mW),Min Power (mW),Max Power (mW)
3.6300,6.97,5.39,8.11,20.9,16.2,24.3
3.6,7.02,5.4,8.12,21.1,16.2,24.3
3.6,7.03,5.4,8.12,21.1,16.2,24.3
3.61,7.01,5.39,8.109,21,16.2,24.3
3.59,7.01,5.39,8.16,21,16.2,24.5
3.58,7,5.39,8.12,21,16.2,24.4
3.59,7.03,5.4,8.13,21.1,16.2,24.4
3.64,7.01,5.4,8.15,21,16.2,24.4
3.62,7.01,5.4,8.12,21,16.2,24.4
3.64,7.02,5.4,8.11,21,16.2,24.3
