time (ms),Avg Current (mA),Min Current (mA),Max Current (mA),Avg Power (mW),Min Power (mW),Max Power (mW)
2.9900,6.99,5.27,8.45,21,15.8,25.3
2.96,7.01,5.27,8.45,21,15.8,25.3
2.97,7.01,5.29,8.46,21,15.9,25.4
2.98,7,5.27,8.45,21,15.8,25.3
2.95,7.02,5.26,8.48,21.1,15.8,25.4
2.97,7.01,5.27,8.48,21,15.8,25.4
2.96,7.02,5.26,8.47,21.1,15.8,25.4
2.95,7.03,5.28,8.47,21.1,15.9,25.4
2.91,7.04,5.27,8.45,21.1,15.8,25.3
2.92,7.03,5.27,8.45,21.1,15.8,25.3
