time (ms),Avg Current (mA),Min Current (mA),Max Current (mA),Avg Power (mW),Min Power (mW),Max Power (mW)
7423,19.5,13.2,28.2,58.6,39.7,84.3
7413,19.5,13.2,28.2,58.6,39.7,84.3
7423,19.6,13.7,28.2,58.8,41.1,84.3
7423,19.6,13.7,28.2,58.8,41.1,84.2
7445,19.6,13.7,28.2,58.8,41.1,84.2
7423,19.6,13.7,28.2,58.8,41.1,84.2
7423,19.6,13.7,28.2,58.8,41.1,84.3
7423,19.6,13.7,28.2,58.8,41.1,84.2
7423,19.6,13.7,28.2,58.8,41.1,84.2
7445,19.6,13.7,28.2,58.8,41.1,84.2
