time (ms),Avg Current (mA),Min Current (mA),Max Current (mA),Avg Power (mW),Min Power (mW),Max Power (mW)
3610,16.9,9.97,26.8,50.8,29.8,79.8
3600,18.4,12,27.5,55.2,36.1,82.2
3613,19.4,13.2,28,58.2,39.7,83.7
3613,19.6,13.7,28.1,58.7,41.2,83.8
3600,19.6,13.7,28.1,58.7,41.2,83.8
3607,19.6,13.7,28.1,58.7,41.2,83.8
3607,19.6,13.7,28.1,58.7,41.2,83.8
3607,19.6,13.7,28,58.6,41.2,83.7
3607,19.5,13.7,28,58.6,41.2,83.7
3610,19.5,13.7,28,58.6,41.1,83.7
