time (ms),Avg Current (mA),Min Current (mA),Max Current (mA),Avg Power (mW),Min Power (mW),Max Power (mW)
194,18,12.5,25.2,54.1,37.6,75.3
193,18.6,13,25.5,55.8,39.1,76.2
192,19,13.4,26,57,40.1,77.7
194,19.2,13.7,26.3,57.7,41.1,78.7
193,19.5,13.9,26.5,58.5,41.8,79.3
194,19.7,14.1,26.7,59.2,42.3,80
193,19.8,14.1,26.7,59.3,42.4,80
193,19.8,14.1,26.8,59.4,42.5,80.1
193,19.8,14.1,26.8,59.3,42.4,80.1
193,19.8,14.1,26.8,59.3,42.4,80.2
