time (ms),Avg Current (mA),Min Current (mA),Max Current (mA),Avg Power (mW),Min Power (mW),Max Power (mW)
4.7300,18.6,10.2,24.8,55.7,30.5,73.8
4.56,17.3,10.5,25.3,52,31.5,75.6
4.72,17.2,10.7,25.6,51.6,32.3,76.3
4.73,17.1,11,25.7,51.4,32.9,76.6
4.74,17,11.2,25.9,50.9,33.6,77.2
4.76,16.8,11.5,26.1,50.3,34.4,77.9
4.7,16.5,11.7,26.3,49.6,35.1,78.4
4.74,16.1,11.9,26.4,48.3,35.7,78.7
4.72,15.8,12.1,26.6,47.4,36.2,79.3
4.72,15.6,12.2,19.7,46.7,36.8,59.5
