time (ms),Avg Current (mA),Min Current (mA),Max Current (mA),Avg Power (mW),Min Power (mW),Max Power (mW)
5.8100,18.2,15.3,19.8,54.6,46,59.4
5.81,18.5,15.5,19.9,55.4,46.4,59.6
5.72,18.8,15.6,20,56.4,46.9,60.1
5.68,19.1,15.8,20.2,57.2,47.2,60.5
5.63,19.4,15.9,20.3,58.2,47.7,60.9
5.67,19.6,16,20.4,58.8,48,61.2
5.65,19.7,16.1,20.6,59.2,48.3,61.6
5.65,19.8,16.2,20.7,59.4,48.6,61.9
5.64,19.9,16.3,20.7,59.7,48.9,62.2
5.66,20.1,16.4,20.9,60.2,49.2,62.6
